Time/Second,Task_No,Time Stamp,OperationMode,isCollision,isCompliance,isReadyToMove,ToolPosition_x,ToolPosition_y,ToolPosition_z,ToolPosition_A,ToolPosition_b,ToolPosition_c,ToolForce_x,ToolForce_y,ToolForce_z,ToolTorque_x,ToolTorque_y,ToolTorque_z,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,JointPosition,Tool_Velocity,Tool_Acceleration
0,1,1572608330,AUT,FALSE,FALSE,TRUE,471.8355513,-400.1416054,169.9413584,179.9844008,-0.012126253,-179.9981611,1.966690779,-1.435685805,5.344950899,-0.275995447,0.326590388,0.005900392,-73.94774208,62.75406417,61.12500114,-78.18132706,-55.45504577,70.95766868,-8.865757375,0.5,1
0.100287914,1,1572608331,AUT,FALSE,FALSE,TRUE,471.8355513,-400.1416054,169.9413584,179.9844008,-0.012126253,-179.9981611,1.966690779,-1.435685805,5.344950899,-0.275995447,0.326590388,0.005900392,-73.94774208,62.75406417,61.12500114,-78.18132706,-55.45504577,70.95766868,-8.865757375,0.5,1
0.201083899,1,1572608331,AUT,FALSE,TRUE,TRUE,469.6343162,-401.6403026,167.2616309,179.9456859,-0.297745858,179.9995937,3.039874484,-2.770942446,6.913805272,-0.628084718,0.547389893,0.034839269,-73.97659149,62.82796096,60.81292076,-78.19378624,-55.45572692,70.95490494,-9.005805594,1,1
0.301779032,1,1572608331,AUT,FALSE,TRUE,TRUE,467.5328814,-405.4952526,159.3774309,179.9444588,-0.116691529,179.9890979,-2.055484888,-0.854936856,4.077886216,-0.351558857,0.808190061,0.168824883,-74.15597076,63.29345856,60.16157226,-78.21977234,-55.59274841,70.05081939,-9.398851781,1,1
0.402292967,1,1572608331,AUT,FALSE,TRUE,TRUE,467.5328814,-405.4952526,159.3774309,179.9444588,-0.116691529,179.9890979,-2.055484888,-0.854936856,4.077886216,-0.351558857,0.808190061,0.168824883,-74.15597076,63.29345856,60.16157226,-78.21977234,-55.59274841,70.05081939,-9.398851781,1,1
0.502761841,1,1572608331,AUT,FALSE,TRUE,TRUE,474.0061432,-405.0980686,149.8230141,-179.9809456,0.417570123,179.9477244,-10.2439594,-0.029053954,2.481257942,-0.22133865,0.759655433,0.001851813,-73.91768761,64.35280494,60.11197586,-77.87893524,-56.3778424,69.30831528,-9.038246156,1,1
0.603221893,1,1572608331,AUT,FALSE,TRUE,TRUE,486.5774977,-401.5516978,145.7146949,179.9593979,0.480503442,-179.9923303,-10.2439594,-0.029053954,2.481257942,-0.22133865,0.759655433,0.001851813,-72.12938461,65.69547844,60.28068809,-76.14521026,-57.264104,69.63860549,-8.334139256,1,1
0.703675985,1,1572608331,AUT,FALSE,TRUE,TRUE,486.5774977,-401.5516978,145.7146949,179.9593979,0.480503442,-179.9923303,-8.641682991,-2.907706196,2.690921711,-0.595531497,0.319767972,0.071628397,-72.12938461,65.69547844,60.28068809,-76.14521026,-57.264104,69.63860549,-8.334139256,1,1
0.804141045,1,1572608331,AUT,FALSE,TRUE,TRUE,504.0523528,-399.2581883,143.5371627,179.9503332,0.527680496,-179.9958122,-7.172705553,-2.14219327,-0.701252627,-0.427242908,-0.00463124,0.149873224,-69.83299484,66.95560341,60.22301674,-73.37784004,-57.58437744,70.46771965,-8.168310931,1,1
0.904620886,1,1572608331,AUT,FALSE,TRUE,TRUE,525.8442222,-397.6878818,144.5879949,179.9357851,0.531506847,179.9850579,-8.077190977,-0.135109,1.813987776,-0.261354659,0.435009134,0.235906133,-66.92150116,68.29043541,60.19993858,-69.35701561,-57.65676086,71.93369064,-8.414991763,1,1
1.005154848,1,1572608331,AUT,FALSE,TRUE,TRUE,525.8442222,-397.6878818,144.5879949,179.9357851,0.531506847,179.9850579,-8.077190977,-0.135109,1.813987776,-0.261354659,0.435009134,0.235906133,-66.92150116,68.29043541,60.19993858,-69.35701561,-57.65676086,71.93369064,-8.414991763,1,1
1.105620861,1,1572608332,AUT,FALSE,TRUE,TRUE,550.7359899,-396.9804009,147.603196,179.9156414,0.393079525,-179.9559283,-1.882962535,-1.51798005,2.335525278,-0.493214466,-0.529204778,0.331329239,-63.41222419,69.75930748,60.11541252,-64.19550476,-57.65662902,73.92199631,-9.110058981,1,1
1.20610404,1,1572608332,AUT,FALSE,TRUE,TRUE,572.562857,-398.8440814,149.0621002,179.9535119,0.36026156,-179.9175605,-4.86612809,0.968620269,2.088828204,-0.493214466,-0.529204778,0.331329239,-60.14885902,71.31596718,59.90384674,-58.8298233,-57.64374206,75.72361336,-10.34493256,1,1
1.306583881,1,1572608332,AUT,FALSE,TRUE,TRUE,572.562857,-398.8440814,149.0621002,179.9535119,0.36026156,-179.9175605,-4.86612809,0.968620269,2.088828204,0.144858441,0.060901031,0.204347677,-60.14885902,71.31596718,59.90384674,-58.8298233,-57.64374206,75.72361336,-10.34493256,1,1
1.407048941,1,1572608332,AUT,FALSE,TRUE,TRUE,592.222564,-397.1020553,148.049861,-179.9920371,0.378064867,179.8836639,-0.622005172,2.3011111,2.128563291,-0.2410573,-0.552227457,-0.076424311,-57.1986557,72.89838294,59.82757416,-54.11264419,-57.65263,77.1240509,-11.34874306,1,1
1.507520914,1,1572608332,AUT,FALSE,TRUE,TRUE,608.4808324,-389.101179,146.3262636,-179.8376173,0.224656497,179.7505139,-2.640382448,7.682141258,1.37860732,0.474423196,0.082156489,-0.546077293,-54.63192329,74.03439674,59.75450478,-50.89014473,-57.72621093,78.14678192,-11.55898705,1,1
1.608059883,1,1572608332,AUT,FALSE,TRUE,TRUE,608.4808324,-389.101179,146.3262636,-179.8376173,0.224656497,179.7505139,-2.640382448,7.682141258,1.37860732,0.474423196,0.082156489,-0.546077293,-54.63192329,74.03439674,59.75450478,-50.89014473,-57.72621093,78.14678192,-11.55898705,1,1
1.708530903,1,1572608332,AUT,FALSE,TRUE,TRUE,621.8305443,-376.5299865,146.5065681,-179.7559313,0.022824445,179.7010328,5.672930824,7.641317936,-1.315050731,0.357384549,-1.241797791,-1.119534024,-52.38668518,74.61295394,59.74001312,-48.99484863,-57.76644287,78.91992759,-10.97952691,1,1
